,meta_pin,meta_year,meta_class,char_hd_sf,char_age,char_rooms,char_beds,char_frpl,char_fbath,char_hbath,char_bldg_sf,geo_longitude,geo_latitude
384155,13242110010000,2020.0,278,5014.0,17.0,13.0,4.0,0.0,3.0,1.0,3044.0,-87.69059948282673,41.948724000705
384156,13242110020000,2020.0,278,4757.0,17.0,13.0,4.0,0.0,3.0,1.0,3044.0,-87.69047300047012,41.94872566710485
384157,13242110030000,2020.0,278,4757.0,17.0,13.0,4.0,0.0,3.0,1.0,3044.0,-87.69034833522686,41.94872707295066
384158,13242110040000,2020.0,278,4757.0,17.0,13.0,4.0,0.0,3.0,1.0,3044.0,-87.690221313308,41.94872850548789
384159,13242110050000,2020.0,278,4757.0,17.0,13.0,4.0,0.0,3.0,1.0,3044.0,-87.69009968428314,41.94872987613996
384160,13242110060000,2020.0,278,4757.0,17.0,13.0,4.0,0.0,3.0,1.0,3044.0,-87.68997493769805,41.948731281773554
384161,13242110070000,2020.0,278,4757.0,17.0,13.0,4.0,0.0,3.0,1.0,3044.0,-87.68984891727165,41.94873270240387
384162,13242110080000,2020.0,278,4757.0,17.0,13.0,4.0,0.0,3.0,1.0,3005.0,-87.68972625808748,41.94873408474862
384163,13242110090000,2020.0,278,4899.0,17.0,13.0,4.0,0.0,3.0,1.0,3044.0,-87.68960801849104,41.94873570937943
384164,13242110100000,2020.0,278,4067.0,17.0,13.0,4.0,0.0,3.0,1.0,3044.0,-87.68968446024816,41.94915108345284
384165,13242110110000,2020.0,278,3906.0,17.0,13.0,4.0,0.0,3.0,1.0,3005.0,-87.68980305648215,41.9491481469934
384166,13242110120000,2020.0,278,3906.0,17.0,13.0,4.0,0.0,3.0,1.0,3044.0,-87.6899193033558,41.94914711991752
384167,13242110130000,2020.0,278,3906.0,17.0,13.0,4.0,0.0,3.0,1.0,3044.0,-87.69003447952818,41.949146103766935
384168,13242110140000,2020.0,278,3906.0,17.0,13.0,4.0,0.0,3.0,1.0,3044.0,-87.69014980771081,41.94914508491007
384169,13242110150000,2020.0,278,3906.0,17.0,13.0,4.0,0.0,3.0,1.0,3044.0,-87.69026507135933,41.94914406679182
384170,13242110160000,2020.0,278,3906.0,17.0,13.0,4.0,0.0,3.0,1.0,3044.0,-87.69038239533634,41.94914303056187
384171,13242110170000,2020.0,278,3906.0,17.0,13.0,4.0,0.0,3.0,1.0,3044.0,-87.69049559317358,41.9491420315415
384172,13242110180000,2020.0,278,4011.0,17.0,13.0,4.0,0.0,3.0,1.0,3044.0,-87.6906150725619,41.94914079251446
384173,13242120010000,2020.0,278,4118.0,14.0,13.0,4.0,0.0,3.0,1.0,3044.0,-87.69215430302187,41.947883997420355
384174,13242120020000,2020.0,278,3864.0,14.0,13.0,4.0,1.0,3.0,1.0,3044.0,-87.69203636471823,41.9478866433102
384175,13242120030000,2020.0,278,3873.0,14.0,13.0,4.0,1.0,3.0,1.0,3044.0,-87.69192241828264,41.94788726753245
384176,13242120040000,2020.0,278,3881.0,14.0,13.0,4.0,0.0,3.0,1.0,3014.0,-87.69180847115058,41.947887891751016
384177,13242120050000,2020.0,278,3890.0,14.0,13.0,4.0,1.0,3.0,1.0,3044.0,-87.69169452401532,41.94788851505161
384178,13242120060000,2020.0,278,3898.0,14.0,13.0,4.0,0.0,3.0,1.0,3014.0,-87.69158057709107,41.94788913864708
384179,13242120070000,2020.0,278,3907.0,14.0,13.0,4.0,1.0,3.0,1.0,3044.0,-87.69146663016939,41.94788976178597
384180,13242120080000,2020.0,278,3916.0,14.0,13.0,4.0,1.0,3.0,1.0,3044.0,-87.69135268357145,41.94789038519889
384181,13242120090000,2020.0,278,3924.0,14.0,13.0,4.0,1.0,3.0,1.0,3014.0,-87.69123873683351,41.94789100823032
384182,13242120100000,2020.0,278,3933.0,14.0,13.0,4.0,1.0,3.0,1.0,3044.0,-87.69112478950115,41.9478916303775
